appeal_id,record_id,participant_id,participant_name,project_id,service_date,month,appeal_reason,supplementary_note,expected_result,status,submitted_by,submitted_at,handler,handled_at,handle_note,rejection_reason,correction,original_calculated_points,original_deduction_points,original_final_points,original_quality,original_duration_hours,original_status,timeline
appeal_af2f8a0e7c41,rec_8315d02692df,P004,赵六,proj_c9fdaf332618,2026-05-20,2026-05,服务时长登记有误，实际服务时间更长,当天活动实际从14:00持续到18:00，共4小时,希望将服务时长更正为4小时，并重新计算积分,已通过,volunteer001,2026-06-13T15:08:35.781233,admin001,2026-06-13T15:08:46.112803,情况属实，同意更正,,"{""quality"": ""优秀"", ""duration_hours"": 4.0, ""deduction_rule_id"": null, ""clear_deduction_rule"": false, ""deduction_points"": null, ""final_points"": null, ""note"": ""经核实，服务时长和质量等级确实有误，予以更正""}",36.0,0.0,36.0,合格,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""volunteer001"", ""operated_at"": ""2026-06-13 15:08:35.781233"", ""description"": ""提交申诉，原因：服务时长登记有误，实际服务时间更长""}, {""event_type"": ""申诉通过"", ""operator"": ""admin001"", ""operated_at"": ""2026-06-13 15:08:46.112803"", ""description"": ""申诉通过，处理说明：情况属实，同意更正""}]"
appeal_967c24cc78d3,rec_8315d02692df,P004,赵六,proj_c9fdaf332618,2026-05-20,2026-05,测试驳回流程,,测试,已驳回,volunteer002,2026-06-13T15:08:54.330645,admin001,2026-06-13T15:08:56.393163,请补充更多证明材料后重新申诉,证据不足，无法证明服务时长有误,,72.0,0.0,72.0,优秀,4.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""volunteer002"", ""operated_at"": ""2026-06-13 15:08:54.330645"", ""description"": ""提交申诉，原因：测试驳回流程""}, {""event_type"": ""申诉驳回"", ""operator"": ""admin001"", ""operated_at"": ""2026-06-13 15:08:56.393163"", ""description"": ""申诉驳回，原因：证据不足，无法证明服务时长有误""}]"
appeal_ce62766a3d8f,rec_38313b4afe48,T90ab68,申诉员_T90ab68,proj_ad1ce1521310,2024-07-01,2024-07,质量评定有误，应为良好,,,已通过,申诉员_T90ab68,2026-06-13T17:41:25.135855,管理员,2026-06-13T17:41:25.174647,同意更正,,"{""quality"": ""良好"", ""duration_hours"": null, ""deduction_rule_id"": null, ""clear_deduction_rule"": false, ""deduction_points"": null, ""final_points"": null, ""note"": ""经核实确为良好""}",30.0,0.0,30.0,合格,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""申诉员_T90ab68"", ""operated_at"": ""2026-06-13 17:41:25.135855"", ""description"": ""提交申诉，原因：质量评定有误，应为良好""}, {""event_type"": ""申诉通过"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 17:41:25.174647"", ""description"": ""申诉通过，处理说明：同意更正；更正内容：quality: 合格 -> 良好; final_points: 30.0 -> 36.0""}]"
appeal_80c6208d6a69,rec_82d592cd5acc,T176825,驳回测试_T176825,proj_ca6bc2958d30,2024-08-01,2024-08,认为评定不公,,,已驳回,驳回测试_T176825,2026-06-13T17:41:25.357220,管理员,2026-06-13T17:41:25.374169,,评定无误，维持原判定,,30.0,0.0,30.0,合格,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""驳回测试_T176825"", ""operated_at"": ""2026-06-13 17:41:25.357220"", ""description"": ""提交申诉，原因：认为评定不公""}, {""event_type"": ""申诉驳回"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 17:41:25.374169"", ""description"": ""申诉驳回，原因：评定无误，维持原判定""}]"
appeal_41982a0fa1cf,rec_0a33a7aaafb3,T7cbb89,申诉员_T7cbb89,proj_5bb0929238b8,2024-07-01,2024-07,质量评定有误，应为良好,,,已通过,申诉员_T7cbb89,2026-06-13T17:41:57.967534,管理员,2026-06-13T17:41:58.014061,同意更正,,"{""quality"": ""良好"", ""duration_hours"": null, ""deduction_rule_id"": null, ""clear_deduction_rule"": false, ""deduction_points"": null, ""final_points"": null, ""note"": ""经核实确为良好""}",30.0,0.0,30.0,合格,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""申诉员_T7cbb89"", ""operated_at"": ""2026-06-13 17:41:57.967534"", ""description"": ""提交申诉，原因：质量评定有误，应为良好""}, {""event_type"": ""申诉通过"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 17:41:58.014061"", ""description"": ""申诉通过，处理说明：同意更正；更正内容：quality: 合格 -> 良好; final_points: 30.0 -> 36.0""}]"
appeal_b85aad6600b0,rec_373a337ad8bd,T643486,驳回测试_T643486,proj_16cde6499fb5,2024-08-01,2024-08,认为评定不公,,,已驳回,驳回测试_T643486,2026-06-13T17:41:58.249376,管理员,2026-06-13T17:41:58.266975,,评定无误，维持原判定,,30.0,0.0,30.0,合格,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""驳回测试_T643486"", ""operated_at"": ""2026-06-13 17:41:58.249376"", ""description"": ""提交申诉，原因：认为评定不公""}, {""event_type"": ""申诉驳回"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 17:41:58.266975"", ""description"": ""申诉驳回，原因：评定无误，维持原判定""}]"
appeal_fe5d75032102,rec_4ef09b65560d,Xaea0ab,多次申诉_Xaea0ab,proj_97a1a0e964ac,2024-11-01,2024-11,第一次申诉：质量应为良好,,,已通过,Xaea0ab,2026-06-13T18:19:25.503913,管理员,2026-06-13T18:19:25.552575,第一次通过,,"{""quality"": ""良好"", ""duration_hours"": null, ""deduction_rule_id"": null, ""clear_deduction_rule"": false, ""deduction_points"": null, ""final_points"": null, ""note"": ""第一次更正：确认为良好""}",30.0,0.0,30.0,合格,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""Xaea0ab"", ""operated_at"": ""2026-06-13 18:19:25.503913"", ""description"": ""提交申诉，原因：第一次申诉：质量应为良好""}, {""event_type"": ""申诉通过"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 18:19:25.552575"", ""description"": ""申诉通过，处理说明：第一次通过；更正内容：quality: 合格 -> 良好; final_points: 30.0 -> 36.0""}]"
appeal_3fe81beec893,rec_4ef09b65560d,Xaea0ab,多次申诉_Xaea0ab,proj_97a1a0e964ac,2024-11-01,2024-11,第二次申诉：时长应为4小时,,,已通过,Xaea0ab,2026-06-13T18:19:25.583620,管理员,2026-06-13T18:19:25.624306,第二次通过,,"{""quality"": null, ""duration_hours"": 4.0, ""deduction_rule_id"": null, ""clear_deduction_rule"": false, ""deduction_points"": null, ""final_points"": null, ""note"": ""第二次更正：时长修改为4小时""}",36.0,0.0,36.0,良好,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""Xaea0ab"", ""operated_at"": ""2026-06-13 18:19:25.583620"", ""description"": ""提交申诉，原因：第二次申诉：时长应为4小时""}, {""event_type"": ""申诉通过"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 18:19:25.624306"", ""description"": ""申诉通过，处理说明：第二次通过；更正内容：duration_hours: 3.0 -> 4.0; final_points: 36.0 -> 48.0""}]"
appeal_c749767b3831,rec_1b865c5967b5,X37d982,多次申诉_X37d982,proj_2ab9bcc2c49d,2024-11-01,2024-11,第一次申诉：质量应为良好,,,已通过,X37d982,2026-06-13T18:21:22.306975,管理员,2026-06-13T18:21:22.365602,第一次通过,,"{""quality"": ""良好"", ""duration_hours"": null, ""deduction_rule_id"": null, ""clear_deduction_rule"": false, ""deduction_points"": null, ""final_points"": null, ""note"": ""第一次更正：确认为良好""}",30.0,0.0,30.0,合格,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""X37d982"", ""operated_at"": ""2026-06-13 18:21:22.306975"", ""description"": ""提交申诉，原因：第一次申诉：质量应为良好""}, {""event_type"": ""申诉通过"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 18:21:22.365602"", ""description"": ""申诉通过，处理说明：第一次通过；更正内容：quality: 合格 -> 良好; final_points: 30.0 -> 36.0""}]"
appeal_e4f7248531fd,rec_1b865c5967b5,X37d982,多次申诉_X37d982,proj_2ab9bcc2c49d,2024-11-01,2024-11,第二次申诉：时长应为4小时,,,已通过,X37d982,2026-06-13T18:21:22.401114,管理员,2026-06-13T18:21:22.474148,第二次通过,,"{""quality"": null, ""duration_hours"": 4.0, ""deduction_rule_id"": null, ""clear_deduction_rule"": false, ""deduction_points"": null, ""final_points"": null, ""note"": ""第二次更正：时长修改为4小时""}",36.0,0.0,36.0,良好,3.0,已计入,"[{""event_type"": ""提交申诉"", ""operator"": ""X37d982"", ""operated_at"": ""2026-06-13 18:21:22.401114"", ""description"": ""提交申诉，原因：第二次申诉：时长应为4小时""}, {""event_type"": ""申诉通过"", ""operator"": ""管理员"", ""operated_at"": ""2026-06-13 18:21:22.474148"", ""description"": ""申诉通过，处理说明：第二次通过；更正内容：duration_hours: 3.0 -> 4.0; final_points: 36.0 -> 48.0""}]"
